Abkürzung,Zeilen_gesamt,Einträge,Beispiel_1,Beispiel_2,Auflösung
Abtlgs.,28,7,Abtlgs. Leit.,Abtlgs. Vorsteh.,Abteilungs
Gemüsegesch.,28,1,Gemüsegesch.,,Gemüsegeschäft
Ziegelmstr.,28,1,Ziegelmstr.,,Ziegelmeister
Bankdirekt.,28,3,Bankdirekt.,Bankdirekt. a. D.,Bankdirektor
Tagelöhn.,28,1,Tagelöhn.,,Tagelöhner
Obersekr.,28,13,Obersekr.,Reichsb. Obersekr.,Obersekretär
Beifahr.,27,1,Beifahr.,,Beifahrer
Bademstr.,27,3,Bademstr.,Bademstr. a. D.,Bademeister
Friseurmstr.,27,1,Friseurmstr.,,Friseurmeister
Heiz.,27,6,Lok. Heiz.,Lok. Ob. Heiz.,Heizer
Gutsbes.,27,1,Gutsbes.,,Gutsbesitzer
Lampenmstr.,27,3,Lampenmstr.,Ob. Lampenmstr.,Lampenmeister
Bankangest.,27,2,Bankangest.,Bankangest. a. D.,Bankangestellter
Lehr.,27,12,Gew. Ob. Lehr.,Gew. Lehr.,Lehrer
Pension.,26,1,Pension.,,Pensionär
Kurzwr.,26,1,Kurzwr.,,Kurzwaren-Händler
Straßenmstr.,26,4,Straßenmstr.,Straßenmstr. a. D.,Straßenmeister
Bauhilfsarb.,26,1,Bauhilfsarb.,,Bauhilfsarbeiter
Polstermstr.,26,1,Polstermstr.,,Polstermeister
Fliesenleg.,26,1,Fliesenleg.,,Fliesenleger
Malergesch.,26,1,Malergesch.,,Malergeschäft
Uhrm.,26,1,Uhrm.,,Uhrmacher
Abteilgs.,26,8,Abteilgs. Leit.,Abteilgs. Vorsteh.,Abteilungs
Maschinensetz.,25,1,Maschinensetz.,,Maschinensetzer
Hauptm.,25,6,Pol. Hauptm.,Hauptm. a. D.,Hauptmann
Manufakturwr.,25,1,Manufakturwr.,,Manufakturwaren-Händler
Heizungsmont.,25,1,Heizungsmont.,,Heizungsmonteur
Versich.,24,7,Versich. Inspekt.,Versich. Vertret.,Versicherungs
Mittelschullehr.,24,2,Mittelschullehr.,Mittelschullehr. i. R.,Mittelschullehrer
Zigarrengesch.,24,1,Zigarrengesch.,,Zigarrengeschäft
Krankenpfleg.,24,2,Krankenpfleg.,Krankenpfleg. a. D.,Krankenpfleger
Kontroll.,24,6,Straßenb. Kontroll.,Kontroll.,Kontrolleur
Installationsgesch.,24,7,Installationsgesch.,Installationsgesch. u. Bauklempnerei,Installationsgeschäft
Möbelhdlg.,24,1,Möbelhdlg.,,Möbelhandlung
Ass.,24,17,Rbhn. Betr. Ass.,Rbhn. Ass.,Assistent
Werkst.,24,17,Autorep. Werkst.,Schuhrep. Werkst.,Werkstatt
Gemeindearb.,23,1,Gemeindearb.,,Gemeindearbeiter
Förderaufseh.,23,2,Förderaufseh.,Förderaufseh. a. D.,Förderaufseher
Klempn.,23,2,Klempn.,Klempn. u. Install.,Klempner
Tischlermstr.,23,2,Tischlermstr.,Tischlermstr. a. D.,Tischlermeister
mech.,22,8,mech. Schreinerei,mech. Stickerei,mechanisch
Zollsekr.,22,2,Zollsekr.,Ob. Zollsekr.,Zollsekretär
Ladeschaffn.,22,4,Ladeschaffn.,Rbhn. Ladeschaffn.,Ladeschaffner
Oberingen.,22,4,Oberingen.,Oberingen. i. R.,Oberingenieur
Bahnbeamt.,22,2,Bahnbeamt.,Bahnbeamt. a. D.,Bahnbeamter
Reichsbk.,22,13,Reichsbk. Beamt.,Reichsbk. Inspekt.,Reichsbank
Prakt.,22,7,Prakt. Arzt,Prakt. Zahnarzt,Praktischer
Revis.,22,10,Rechn. Revis.,Revis.,Revisor
Kohlenhdl.,21,1,Kohlenhdl.,,Kohlenhändler
Hilfsmstr.,21,2,Hilfsmstr.,Hilfsmstr. a. D.,Hilfsmeister
Meßgeh.,21,1,Meßgeh.,,Meßgehilfe
Stuckgesch.,21,1,Stuckgesch.,,Stuckgeschäft
Maßgesch.,21,1,Maßgesch.,,Maßgeschäft
Kettenanschläg.,21,1,Kettenanschläg.,,Kettenanschläger
staatl.,21,15,staatl. gepr. Dentist,staatl. gepr. Dentistin,staatlich
Richtmstr.,21,1,Richtmstr.,,Richtmeister
Reviersteig.,21,2,Reviersteig.,Reviersteig. a. D.,Reviersteiger
Stukkat.,21,1,Stukkat.,,Stuckateur
Mechanik.,21,1,Mechanik.,,Mechaniker
Gartenmstr.,21,4,Gartenmstr.,städt. Gartenmstr.,Gartenmeister
Konsumvorsteh.,20,1,Konsumvorsteh.,,Konsumvorsteher
Mechanikermstr.,20,1,Mechanikermstr.,,Mechanikermeister
Maschin.,20,8,Maschin.,Maschin. Steiger,Maschinist
Buchhdlg.,20,2,Buchhdlg.,Buchhdlg. Geh.,Buchhandlung
Lagermstr.,20,1,Lagermstr.,,Lagermeister
Handelslehr.,20,1,Dipl. Handelslehr.,,Handelslehrer
Obsthdl.,20,1,Obsthdl.,,Obsthändler
Bürovorst.,20,2,Bürovorst.,Bürovorst. a. D.,Bürovorsteher
Photogr.,20,5,Photogr. Atelier,Photogr.,Photograph
Fischhdlg.,20,1,Fischhdlg.,,Fischhandlung
Papierwr.,19,2,Papierwr.,Papierwr. Großhdlg.,Papierwaren-Händler
Viehhdl.,19,1,Viehhdl.,,Viehhändler
Vollzieh.,19,4,Vollzieh. Beamt.,Ger. Vollzieh.,Vollziehungs
Landarb.,19,1,Landarb.,,Landarbeiter
Glasarb.,19,1,Glasarb.,,Glasarbeiter
Laborat.,19,5,Laborat. Beamt.,Laborat. Techn.,Laboratoriums
Transportarb.,19,1,Transportarb.,,Transportarbeiter
Maßprüf.,19,1,Maßprüf.,,Maßprüfer
Vermessgs.,19,12,Vermessgs. Techn.,Vermessgs. Inspekt.,Vermessungs
Dachdeck.,18,1,Dachdeck.,,Dachdecker
Rangier.,18,2,Rangier.,Rbhn. Rangier.,Rangierer
Bahnmstr.,18,7,Bahnmstr.,Ob. Bahnmstr.,Bahnmeister
Lagerhalt.,18,1,Lagerhalt.,,Lagerhalter
Baumstr.,18,5,Reg. Baumstr.,Baumstr.,Baumeister
Handlgs.,18,5,Handlgs. Geh.,Handlgs. Bevollmächt.,Handlungs
Kraftfahr.,18,1,Kraftfahr.,,Kraftfahrer
Fahrsteig.,18,3,Fahrsteig.,Fahrsteig. a. D.,Fahrsteiger
Anzeichn.,18,1,Anzeichn.,,Anzeichner
Trinkhallenbes.,18,1,Trinkhallenbes.,,Trinkhallen-Besitzer
Bergbaubeamt.,18,2,Bergbaubeamt.,kfm. Bergbaubeamt.,Bergbaubeamter
Stadtoberinspekt.,18,5,Stadtoberinspekt.,techn. Stadtoberinspekt.,Stadtoberinspektor
Bücherrevis.,18,1,Bücherrevis.,,Bücherrevisor
Händl.,18,1,Händl.,,Händler
Geschäftsinhabrin.,18,1,Geschäftsinhabrin.,,Geschäftsinhaberin
Obering.,18,4,Obering.,Obering. B. d. i.,Oberingenieur
Maschinenwärt.,17,1,Maschinenwärt.,,Maschinenwärter
Bahnhofsvorsteh.,17,6,Bahnhofsvorsteh.,Ob. Bahnhofsvorsteh.,Bahnhofsvorsteher
Kesselheiz.,17,1,Kesselheiz.,,Kesselheizer
Magaz.,17,4,Magaz. Verwalt.,Magaz. Verw.,Magazin
Fahrradhdlg.,17,1,Fahrradhdlg.,,Fahrradhandlung
Rohproduktenhdl.,17,1,Rohproduktenhdl.,,Rohproduktenhändler
Oberbauarb.,17,1,Oberbauarb.,,Oberbauarbeiter
Unternehm.,17,4,Unternehm.,"Unternehm., Mülheimer Str. 55",Unternehmer
Tiefbauunternehm.,17,2,Tiefbauunternehm.,Tiefbauunternehm. u. Steinbruchbetrieb,Tiefbauunternehmer
Musiklehr.,17,2,Musiklehr.,akadem. Musiklehr.,Musiklehrer
Buchhdl.,17,1,Buchhdl.,,Buchhändler
Eisenwr.,17,3,Eisenwr.,"Eisenwr., Haus- u. Küchengeräte, Schlosserei",Eisenwaren-Händler
Kommiss.,16,3,Krim. Kommiss.,Pol. Kommiss.,Kommissar
Werkzeugschloss.,16,1,Werkzeugschloss.,,Werkzeugschlosser
Buchbindermstr.,16,2,Buchbindermstr.,Buchbindermstr. a. D.,Buchbindermeister
Gartenarb.,16,1,Gartenarb.,,Gartenarbeiter
Fabrarb.,16,1,Fabrarb.,,Fabrikarbeiter
Chem.,16,10,Chem.,Chem. Techn.,Chemiker
Stadtobersekr.,16,5,Stadtobersekr.,Stadtobersekr. a. D.,Stadtobersekretär
Buchdruckermstr.,16,1,Buchdruckermstr.,,Buchdruckermeister
Schichtmstr.,16,3,Schichtmstr.,Schichtmstr. a. D.,Schichtmeister
Kanzl.,16,12,Kanzl. Sekr.,Kanzl. Sekr. a. D.,Kanzlei
Brückenaufseh.,16,2,Brückenaufseh.,Brückenaufseh. a. D.,Brückenaufseher
Buchdruckereibes.,16,1,Buchdruckereibes.,,Buchdruckerei-Besitzer
Wilh.,16,15,"Wilh., Bergm.","Wilh. J., Steuerberater",(Vorname Wilhelm)
Maschinenform.,16,1,Maschinenform.,,Maschinenformer
Handelsvertr.,16,1,Handelsvertr.,,Handelsvertreter
Leutn.,16,7,Pol. Ob. Leutn.,Ob. Leutn. a. D.,Leutnant
Fabrkdirekt.,16,4,Fabrkdirekt.,Fabrkdirekt. a. D.,Fabrikdirektor
Filialleit.,16,1,Filialleit.,,Filialleiter
Wäschearb.,15,1,Wäschearb.,,Wäschearbeiter
Bergtagelöhn.,15,1,Bergtagelöhn.,,Bergtagelöhner
Gärtn.,15,3,Ob. Gärtn.,Gärtn.,Gärtner
Nachtwächt.,15,2,Nachtwächt.,Nachtwächt. a. D.,Nachtwächter
Schuhmachermstr.,15,1,Schuhmachermstr.,,Schuhmachermeister
Hauptlehr.,15,4,Hauptlehr.,Hauptlehr. i. R.,Hauptlehrer
Hilfsweichenstell.,15,2,Hilfsweichenstell.,Reichsb. Hilfsweichenstell.,Hilfsweichensteller
Kolonnenführ.,15,1,Kolonnenführ.,,Kolonnenführer
Güterbodenarb.,15,1,Güterbodenarb.,,Güterboden-Arbeiter
Gußputz.,15,1,Gußputz.,,Gußputzer
Leitgs.,15,5,Telegr. Leitgs. Aufseh.,Leitgs. Aufseh.,Leitungs
Reisend.,15,1,Reisend.,,Reisender
Tafelführ.,15,1,Tafelführ.,,Tafelführer
Großhdlg.,14,13,Zuckerwr. Großhdlg.,"Tabakwr., Großhdlg.",Großhandlung
Büroassist.,14,4,Büroassist.,Just. Büroassist.,Büroassistent
Elektroschweiß.,14,1,Elektroschweiß.,,Elektroschweißer
Wohnungsverwalt.,14,1,Wohnungsverwalt.,,Wohnungsverwalter
Wollwr.,14,2,Wollwr.,Weiß- u. Wollwr.,Wollwaren-Händler
Drehermstr.,14,1,Drehermstr.,,Drehermeister
Montageinspekt.,14,1,Montageinspekt.,,Montageinspektor
Apothekenbes.,14,3,Apothekenbes.,"Hermann, Apothekenbes.",Apothekenbesitzer
Hausbesrin.,14,1,Hausbesrin.,,Hausbesitzerin
Ziv.,14,3,Ziv. Ing.,Ziv. Ingen.,Zivil
vereid.,14,10,vereid. Landmesser,staatl. vereid. Landmesser,vereidigter
Hallenmstr.,14,2,Hallenmstr.,Hallenmstr. a. D.,Hallenmeister
Abteilgsleit.,14,2,Abteilgsleit.,"Dipl. rer. Pol., Abteilgsleit.",Abteilungsleiter
Milchhdlr.,13,1,Milchhdlr.,,Milchhändler
Generalvertret.,13,3,Generalvertret.,"Werner, Generalvertret.",Generalvertreter
Hotelangest.,13,1,Hotelangest.,,Hotelangestellter
gepr.,13,9,staatl. gepr. Dentist,staatl. gepr. Dentistin,geprüfter
Heildien.,13,2,Heildien.,Staatl. Gepr. Heildien.,Heildiener
Materialienverwalt.,13,1,Materialienverwalt.,,Materialienverwalter
Hausmstrin.,13,1,Hausmstrin.,,Hausmeisterin
Packmstr.,13,2,Packmstr.,Rbhn. Packmstr. a. D.,Packmeister
Holzhdlg.,13,2,Holzhdlg.,Sägewerk u. Holzhdlg.,Holzhandlung
Postaushelf.,13,1,Postaushelf.,,Postaushelfer
Rev.,13,9,Rev. Beamt.,Rev. Steiger,Revisions
Maschinenarb.,13,1,Maschinenarb.,,Maschinenarbeiter
Tabakwrgroßhdlg.,13,1,Tabakwrgroßhdlg.,,Tabakwaren-Großhandlung
Tel.,13,13,Tel. Werkführ.,Reichsb. Tel. Sekr. a. D.,Telegraphen
Rangierarb.,12,1,Rangierarb.,,Rangierarbeiter
Chemotechn.,12,1,Chemotechn.,,Chemotechniker
Maschinenschrein.,12,1,Maschinenschrein.,,Maschinenschreiner
Zivilingen.,12,2,Zivilingen.,Zivilingen. a. D.,Zivilingenieur
Volksw.,12,2,Dipl. Volksw.,Volksw.,Volkswirt
Lebensmittelhdlg.,12,2,Lebensmittelhdlg.,"Obst, Gemüse, Lebensmittelhdlg.",Lebensmittelhandlung
Glasbläs.,12,1,Glasbläs.,,Glasbläser
Verlagsbeamt.,12,2,Verlagsbeamt.,Verlagsbeamt. a. D.,Verlagsbeamter
Priv.,12,10,Priv. Sekretärin,Priv. Pension,Privat
Leitgsaufseh.,12,2,Telegr. Leitgsaufseh.,Leitgsaufseh.,Leitungsaufseher
Rangierführ.,12,2,Rangierführ.,Rangierführ. a. D.,Rangierführer
Grubenschloss.,12,1,Grubenschloss.,,Grubenschlosser
Streckenwärt.,12,2,Streckenwärt.,Streckenwärt. a. D.,Streckenwärter
Kassenbeamt.,12,1,Kassenbeamt.,,Kassenbeamter
Linoleumleg.,12,1,Linoleumleg.,,Linoleumleger
Rentenempf.,12,1,Rentenempf.,,Rentenempfänger
Kassenschaffn.,12,2,Kassenschaffn.,Straßenb. Kassenschaffn.,Kassenschaffner
Transportunternehm.,12,1,Transportunternehm.,,Transportunternehmer
Abtlgsleit.,12,2,Abtlgsleit.,Abtlgsleit. a. D.,Abteilungsleiter
Maschinentechn.,12,1,Maschinentechn.,,Maschinentechniker
Aufsichtsbeamt.,12,2,Aufsichtsbeamt.,Techn. Aufsichtsbeamt.,Aufsichtsbeamter
Steuerberat.,12,1,Steuerberat.,,Steuerberater
Oberinspekt.,12,10,techn. Oberinspekt.,Reichsb. Oberinspekt.,Oberinspektor
Buchbind.,12,1,Buchbind.,,Buchbinder
Brikettmstr.,12,2,Brikettmstr.,Brikettmstr. a. D.,Brikettmeister
Ziegeleiarb.,12,1,Ziegeleiarb.,,Ziegeleiarbeiter
Postamtm.,12,2,Postamtm.,Postamtm. a. D.,Postamtmann
Backwr.,12,1,Backwr.,,Backwaren-Händler
Mitgl.,12,11,"Architekt, Mitgl. d. Reichsk. d. bild. Künste","Architekt, Mitgl. d. Reichkammer d. bildenden Künste",Mitglied
Justizsekr.,11,4,Justizsekr.,Justizsekr. i. R.,Justizsekretär
Rohrleg.,11,1,Rohrleg.,,Rohrleger
Fahrmstr.,11,2,Fahrmstr.,Fahrmstr. a. D.,Fahrmeister
landw.,11,7,landw. Arbeiter,landw. Arb.,landwirtschaftlicher
Archit.,11,2,Archit.,"Archit., Vors., Verein f. Feuerbestattung, e.V.",Architekt
Terminbeamt.,11,2,Terminbeamt.,Terminbeamt. a. D.,Terminbeamter
Stukkateurmstr.,11,1,Stukkateurmstr.,,Stukkateurmeister
Laternenwärt.,11,1,Laternenwärt.,,Laternenwärter
Gewerbeoberlehr.,11,1,Gewerbeoberlehr.,,Gewerbeober-Lehrer
Hilfswachtmstr.,11,4,Just. Hilfswachtmstr.,Hilfswachtmstr.,Hilfswachtmeister
Fa.,11,11,"Geschäftsführer für die Fa. H. Schu & Co., G.m.b.H., beeidigter Sachverständiger d. Industrie- u. Handelskammer","Ingenieur, Mitinh. d. Fa. Bonato & Rehse",Firma
Korbmach.,11,1,Korbmach.,,Korbmacher
Rohrmstr.,11,2,Rohrmstr.,Rohrmstr. a. D.,Rohrmeister
Zugschaffn.,11,3,Zugschaffn.,Ob. Zugschaffn.,Zugschaffner
Bauhandwerk.,11,2,Telegr. Bauhandwerk.,Bauhandwerk.,Bauhandwerker
Feinkostwr.,11,1,Feinkostwr.,,Feinkostwaren-Händler
Blumenhdlg.,11,1,Blumenhdlg.,,Blumenhandlung
Marmorschleif.,11,1,Marmorschleif.,,Marmorschleifer
Schriftleit.,11,1,Schriftleit.,,Schriftleiter
Krankenwärt.,11,1,Krankenwärt.,,Krankenwärter
Dr.-Ing.,11,2,Dr.-Ing.,Vw. Dr.-Ing.,Doktor-Ingenieur
Zollinspekt.,11,2,Zollinspekt.,Ob. Zollinspekt.,Zollinspektor
Synd.,11,3,Synd. Beamt.,Synd. Direkt. i. R.,Syndikats
Geschäftsinhab.,11,1,Geschäftsinhab.,,Geschäftsinhaber
Verwaltgsbeamt.,11,1,Verwaltgsbeamt.,,Verwaltungsbeamter
Waldarb.,11,1,Waldarb.,,Waldarbeiter
Abteilgsvorsteh.,11,2,Abteilgsvorsteh.,"Abteilgsvorsteh. i. R., Dipl. Ing.",Abteilungsvorsteher
Walzmstr.,11,1,Walzmstr.,,Walzmeister
Facharb.,10,3,Facharb.,Laborat. Facharb.,Facharbeiter
Hilfsweichenwärt.,10,2,Hilfsweichenwärt.,Reichsb. Hilfsweichenwärt.,Hilfsweichenwärter
Leitungsaufseh.,10,2,Leitungsaufseh.,Telegr. Leitungsaufseh.,Leitungsaufseher
Steinsetz.,10,1,Steinsetz.,,Steinsetzer
Revisionsbeamt.,10,1,Revisionsbeamt.,,Revisionsbeamter
Werkhelf.,10,1,Werkhelf.,,Werkhelfer
Wärt.,10,4,Masch. Wärt.,Reichsb. Wärt.,Wärter
Scherenarb.,10,1,Scherenarb.,,Scherenarbeiter
Bergingen.,10,2,Bergingen.,Dipl. Bergingen.,Bergingenieur
Landmess.,10,6,Ob. Landmess.,vereid. Landmess.,Landmesser
Bürgermstr.,10,4,Bürgermstr. a. D.,Bürgermstr. i. R.,Bürgermeister
Fabrkbes.,10,1,Fabrkbes.,,Fabrikbesitzer
Brandmstr.,10,3,Brandmstr.,Brandmstr. a. D.,Brandmeister
Konrekt.,10,3,Konrekt.,Konrekt. i. R.,Konrektor
Mstr.,10,7,Pol. Mstr.,Pol. Mstr. i. R.,Meister
Schulhausmstr.,10,1,Schulhausmstr.,,Schulhausmeister
Postmstr.,10,3,Postmstr.,Ob. Postmstr.,Postmeister
Bauzeichn.,10,1,Bauzeichn.,,Bauzeichner
Formermstr.,10,2,Formermstr.,Formermstr. a. D.,Formermeister
Ofenarb.,10,1,Ofenarb.,,Ofenarbeiter
Eierhdlg.,10,1,Eierhdlg.,,Eierhandlung
Rechnungsbeamt.,10,2,Rechnungsbeamt.,Rechnungsbeamt. a. D.,Rechnungsbeamter
Schirrmstr.,10,3,Schirrmstr.,Schirrmstr. a. D.,Schirrmeister
Studiendirekt.,10,3,Ob. Studiendirekt.,Studiendirekt.,Studiendirektor
Althdlg.,10,1,Althdlg.,,Althandlung
Bauinspekt.,10,6,Bauinspekt.,Reichsb. Bauinspekt.,Bauinspektor
Büroinspekt.,10,4,Büroinspekt.,Büroinspekt. a. D.,Büroinspektor
Musikdirekt.,10,5,Musikdirekt.,städt. Musikdirekt.,Musikdirektor
Vw.,10,9,Vw. Direktor,Vw. Apotheker,Verwaltungs
Handlang.,10,1,Handlang.,,Handlanger
Motorwärt.,10,1,Motorwärt.,,Motorwärter
Staatl.,10,10,Musikschule (Staatl. Genehm.),Staatl. Lotterie-Einnahme,Staatlich
Stationsschaffn.,10,3,Stationsschaffn.,Stationsschaffn. a. D.,Stationsschaffner
Goldwr.,10,1,Goldwr.,,Goldwaren-Händler
Futtermstr.,10,1,Futtermstr.,,Futtermeister
Fischhdl.,10,1,Fischhdl.,,Fischhändler
Montagearb.,10,1,Montagearb.,,Montagearbeiter
Textilwr.,10,1,Textilwr.,,Textilwaren-Händler
Obstgroßhdlg.,10,2,Obstgroßhdlg.,"Obstgroßhdlg., Großmarkt",Obst-Großhandlung
Dr.,10,9,Dr. Ing.,Heilinstitut u. Vertr. Dr. Försters Heilapparat,Doktor
